Portfolio,Name,Exchange,Ticker,Buy Date,Buy Percent,Buy Value,Units,Buy Price
TOM,Cosmos,Binanace,ATOM,28.03.23,0.05,700,61.74,11.336
TOM,Lukso,Gate.io,LYX,28.03.23,0.05,700,80.35196,8.7116
TOM,Polygon,Binanace,MATIC,28.03.23,0.05,700,623.2,1.059
TOM,MetisDAO,Gate.io,METIS,28.03.23,0.05,700,29.29584,24.235
TOM,ChainLink,Binanace,LINK,28.03.23,0.05,700,102.59,6.823
TOM,Avalanche,Binanace,AVAX,28.03.23,0.025,350,21.25,16.47
TOM,Kadena,Binanace,KDA,28.03.23,0.05,700,764.19,0.916
TOM,Flux,Binanace,FLUX,28.03.23,0.05,700,1157.02,0.605
TOM,Polkadot,Binanace,DOT,28.03.23,0.05,700,117.92,5.936
TOM,Basic Attention Token,Binanace,BAT,28.03.23,0.05,700,2943,0.2378
TOM,Near Protocol,Binanace,NEAR,17.03.23,0.025,350,178.664,1.958984462
TOM,Cosmos,Binanace,ATOM,17.04.23,0.05,700,56.16,12.464
TOM,Lukso,Gate.io,LYX,17.04.23,0.05,700,53.31711,13.1289
TOM,Polygon,Binanace,MATIC,17.04.23,0.05,700,602.9,1.161
TOM,MetisDAO,Gate.io,METIS,17.04.23,0.05,700,21.55959,32.468
TOM,ChainLink,Binanace,LINK,17.04.23,0.05,700,86.03,8.136
TOM,Avalanche,Binanace,AVAX,17.04.23,0.025,350,16.99,20.6
TOM,Kadena,Binanace,KDA,17.04.23,0.05,700,678.95,1.031
TOM,Flux,Binanace,FLUX,17.04.23,0.05,700,1014.49,0.69
TOM,Polkadot,Binanace,DOT,17.04.23,0.05,700,104.27,6.713
TOM,Basic Attention Token,Binanace,BAT,17.04.23,0.05,700,2524,0.2773
TOM,Near Protocol,Binanace,NEAR,17.03.23,0.025,350,178.664,196
MATTI,Near Protocol,Binanace,NEAR,17.03.23,0.025,350,178.664,1.958984462
MATTI,Cosmos,Binanace,ATOM,17.04.23,0.05,700,56.16,12.464
MATTI,Lukso,Gate.io,LYX,17.04.23,0.05,700,53.31711,13.1289
MATTI,Near Protocol,Binanace,NEAR,17.03.23,0.025,350,178.664,1.958984462
MATTI,Cosmos,Binanace,ATOM,17.04.23,0.05,700,56.16,12.464
MATTI,Lukso,Gate.io,LYX,17.04.23,0.05,700,53.31711,13.1289
DOR,Cosmos,Binanace,ATOM,28.03.23,0.05,700,61.74,11.336
DOR,Lukso,Gate.io,LYX,28.03.23,0.05,700,80.35196,8.7116
DOR,Polygon,Binanace,MATIC,28.03.23,0.05,700,623.2,1.059
DOR,MetisDAO,Gate.io,METIS,28.03.23,0.05,700,29.29584,24.235
DOR,ChainLink,Binanace,LINK,28.03.23,0.05,700,102.59,6.823
DOR,Polkadot,Binanace,DOT,28.03.23,0.05,700,117.92,5.936
DOR,Cosmos,Binanace,ATOM,17.04.23,0.05,700,56.16,12.464
